uuid,user_agent,meta_created,logs,note_method,time_paused,times_paused,digit_span_time_taken,digit_span_score,started_quiz,submitted_quiz,time_taking_quiz
daf20701,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1649275639345,"[{'type': 'info', 'message': 'Audio ended'}]",none,0,0,82333,10,1649276140660,1649276277210,136550

type,question,correct,option1,option2,option3,option4,answer
multiple_choice,How long have Jackson and Davies been friends?,40 Years,40 Years,20 Years,5 Years,10 Years,40 Years
multiple_choice,What state do they live in?,Washington,Minnesota,Washington,Indiana,Michigan,Washington
multiple_choice,What are their favourite pastimes?,Going for walks and gardening,Playing bingo and jogging,Playing chess and swimming,Going to church and birdwatching,Going for walks and gardening,Going for walks and gardening
multiple_choice,Which does Davies not grow?,Beets,Melons,Beets,Carrots,Peas,Peas
multiple_choice,What do they do with their harvest?,Make jams and preserves,Donate it to chairty,Give it away to friends and family,Make jams and preserves,Make pies and cakes,Make jams and preserves
multiple_choice,What relation do Liam and Robert have to each other?,Cousins,Cousins,Friends,Brothers,Classmates,Cousins
multiple_choice,How old is Liam?,8 years old,6 years old,5 years old,10 years old,8 years old,8 years old
multiple_choice,Who's car did they go in?,Aunt Sally,Uncle Devin,Aunt Sally,Liam's father,Liam's mother,Liam's father
multiple_choice,Where did they go in the car?,Riding school,The mall,Riding school,The playground,Cooking school,The mall
multiple_choice,When did their lesson start?,3 o'clock,1 o'clock,3 o'clock,2 o'clock,Noon,1 o'clock
multiple_choice,Who was Lucy Carson visiting?,Her brother,Her nephiew,Her mother,Her sister,Her brother,Her mother
multiple_choice,Which state did she visit?,Virginia,Missouri,Louisiana,Connecticut,Virginia,Louisiana
multiple_choice,Where was she going did when she got lost?,The art musium,The art musium,The bookstore,The gallary,The library,The art musium
multiple_choice,Where did she leave the directions?,On her dresseer,On her dresseer,On her couch,In her car,In her brothers appartement,On her couch
multiple_choice,How many blocks did she have to walk north?,5 blocks,2 Blocks,1 Block,15 blocks,5 blocks,15 blocks
multiple_choice,What day of the week did the annual sale start on?,Tuesday,Friday,Tuesday,Monday,Thursday,Monday
multiple_choice,How much were sporting goods marked down?,75%,15%,50%,25%,75%,25%
multiple_choice,How many dollars were jackets reduced by?,30$,30$,60$,50$,100$,30$
multiple_choice,What were the crowds of shoppers bumping into?,Each other,Racks of cloths,Each other,Carts,The employees,Carts
multiple_choice,What did each employee receive after closing?,A bottle of champaign,A Gift card,A bottle of champaign,A bottle of wine,A sincere thank you,A bottle of champaign
