uuid,user_agent,meta_created,logs,note_method,time_paused,times_paused,digit_span_time_taken,digit_span_score,started_quiz,submitted_quiz,time_taking_quiz
1514e832,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",1649352355870,"[{'type': 'info', 'message': 'Audio ended'}]",typed,0,0,99783,10,1649352646962,1649352793288,146326

type,question,correct,option1,option2,option3,option4,answer
multiple_choice,How long have Jackson and Davies been friends?,40 Years,10 Years,5 Years,40 Years,20 Years,40 Years
multiple_choice,What state do they live in?,Washington,Washington,Indiana,Michigan,Minnesota,Minnesota
multiple_choice,What are their favourite pastimes?,Going for walks and gardening,Going to church and birdwatching,Playing chess and swimming,Going for walks and gardening,Playing bingo and jogging,Going for walks and gardening
multiple_choice,Which does Davies not grow?,Beets,Peas,Melons,Carrots,Beets,Carrots
multiple_choice,What do they do with their harvest?,Make jams and preserves,Make jams and preserves,Give it away to friends and family,Donate it to chairty,Make pies and cakes,Make jams and preserves
multiple_choice,What relation do Liam and Robert have to each other?,Cousins,Classmates,Cousins,Friends,Brothers,Friends
multiple_choice,How old is Liam?,8 years old,6 years old,8 years old,5 years old,10 years old,8 years old
multiple_choice,Who's car did they go in?,Aunt Sally,Aunt Sally,Liam's father,Uncle Devin,Liam's mother,Liam's father
multiple_choice,Where did they go in the car?,Riding school,The playground,Cooking school,Riding school,The mall,Riding school
multiple_choice,When did their lesson start?,3 o'clock,3 o'clock,Noon,1 o'clock,2 o'clock,3 o'clock
multiple_choice,Who was Lucy Carson visiting?,Her brother,Her mother,Her nephiew,Her sister,Her brother,Her sister
multiple_choice,Which state did she visit?,Virginia,Connecticut,Louisiana,Missouri,Virginia,Louisiana
multiple_choice,Where was she going did when she got lost?,The art musium,The library,The bookstore,The art musium,The gallary,The gallary
multiple_choice,Where did she leave the directions?,On her dresseer,In her brothers appartement,On her dresseer,In her car,On her couch,On her dresseer
multiple_choice,How many blocks did she have to walk north?,5 blocks,5 blocks,15 blocks,1 Block,2 Blocks,5 blocks
multiple_choice,What day of the week did the annual sale start on?,Tuesday,Thursday,Tuesday,Friday,Monday,Friday
multiple_choice,How much were sporting goods marked down?,75%,25%,75%,15%,50%,75%
multiple_choice,How many dollars were jackets reduced by?,30$,60$,100$,50$,30$,30$
multiple_choice,What were the crowds of shoppers bumping into?,Each other,Each other,Carts,The employees,Racks of cloths,Each other
multiple_choice,What did each employee receive after closing?,A bottle of champaign,A Gift card,A bottle of wine,A bottle of champaign,A sincere thank you,A bottle of champaign
