uuid,user_agent,meta_created,logs,note_method,time_paused,times_paused,digit_span_time_taken,digit_span_score,started_quiz,submitted_quiz,time_taking_quiz
e11c2001,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36",1649278157732,"[{'type': 'info', 'message': 'Audio ended'}]",typed,0,0,94144,10,1649279178333,1649279379166,200833

type,question,correct,option1,option2,option3,option4,answer
multiple_choice,How long have Jackson and Davies been friends?,40 Years,5 Years,10 Years,20 Years,40 Years,10 Years
multiple_choice,What state do they live in?,Washington,Minnesota,Indiana,Washington,Michigan,Washington
multiple_choice,What are their favourite pastimes?,Going for walks and gardening,Going for walks and gardening,Playing chess and swimming,Going to church and birdwatching,Playing bingo and jogging,Going for walks and gardening
multiple_choice,Which does Davies not grow?,Beets,Carrots,Peas,Beets,Melons,Beets
multiple_choice,What do they do with their harvest?,Make jams and preserves,Give it away to friends and family,Make pies and cakes,Donate it to chairty,Make jams and preserves,Make jams and preserves
multiple_choice,What relation do Liam and Robert have to each other?,Cousins,Cousins,Brothers,Classmates,Friends,Cousins
multiple_choice,How old is Liam?,8 years old,5 years old,6 years old,8 years old,10 years old,8 years old
multiple_choice,Who's car did they go in?,Aunt Sally,Aunt Sally,Liam's mother,Liam's father,Uncle Devin,Aunt Sally
multiple_choice,Where did they go in the car?,Riding school,Riding school,The mall,Cooking school,The playground,Riding school
multiple_choice,When did their lesson start?,3 o'clock,1 o'clock,2 o'clock,3 o'clock,Noon,3 o'clock
multiple_choice,Who was Lucy Carson visiting?,Her brother,Her mother,Her nephiew,Her sister,Her brother,Her brother
multiple_choice,Which state did she visit?,Virginia,Connecticut,Virginia,Louisiana,Missouri,Virginia
multiple_choice,Where was she going did when she got lost?,The art musium,The library,The art musium,The gallary,The bookstore,The art musium
multiple_choice,Where did she leave the directions?,On her dresseer,In her car,On her couch,In her brothers appartement,On her dresseer,In her brothers appartement
multiple_choice,How many blocks did she have to walk north?,5 blocks,5 blocks,1 Block,15 blocks,2 Blocks,5 blocks
multiple_choice,What day of the week did the annual sale start on?,Tuesday,Friday,Thursday,Tuesday,Monday,Friday
multiple_choice,How much were sporting goods marked down?,75%,25%,50%,15%,75%,25%
multiple_choice,How many dollars were jackets reduced by?,30$,60$,100$,30$,50$,30$
multiple_choice,What were the crowds of shoppers bumping into?,Each other,The employees,Racks of cloths,Each other,Carts,Each other
multiple_choice,What did each employee receive after closing?,A bottle of champaign,A bottle of champaign,A Gift card,A bottle of wine,A sincere thank you,A bottle of champaign
