uuid,user_agent,meta_created,logs,note_method,time_paused,times_paused,digit_span_time_taken,digit_span_score,started_quiz,submitted_quiz,time_taking_quiz
930ab031,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1649697075688,"[{'type': 'info', 'message': 'Audio ended'}]",typed,0,0,83290,10,1649698152362,1649698294110,141748

type,question,correct,option1,option2,option3,option4,answer
multiple_choice,How long have Jackson and Davies been friends?,40 Years,40 Years,20 Years,5 Years,10 Years,40 Years
multiple_choice,What state do they live in?,Washington,Minnesota,Indiana,Washington,Michigan,Washington
multiple_choice,What are their favourite pastimes?,Going for walks and gardening,Playing bingo and jogging,Going to church and birdwatching,Going for walks and gardening,Playing chess and swimming,Going for walks and gardening
multiple_choice,Which does Davies not grow?,Beets,Beets,Carrots,Melons,Peas,Beets
multiple_choice,What do they do with their harvest?,Make jams and preserves,Give it away to friends and family,Donate it to chairty,Make pies and cakes,Make jams and preserves,Give it away to friends and family
multiple_choice,What relation do Liam and Robert have to each other?,Cousins,Classmates,Cousins,Brothers,Friends,Cousins
multiple_choice,How old is Liam?,8 years old,6 years old,8 years old,10 years old,5 years old,8 years old
multiple_choice,Who's car did they go in?,Aunt Sally,Liam's mother,Aunt Sally,Uncle Devin,Liam's father,Aunt Sally
multiple_choice,Where did they go in the car?,Riding school,Riding school,Cooking school,The playground,The mall,Riding school
multiple_choice,When did their lesson start?,3 o'clock,2 o'clock,1 o'clock,3 o'clock,Noon,3 o'clock
multiple_choice,Who was Lucy Carson visiting?,Her brother,Her nephiew,Her mother,Her brother,Her sister,Her brother
multiple_choice,Which state did she visit?,Virginia,Louisiana,Connecticut,Missouri,Virginia,Virginia
multiple_choice,Where was she going did when she got lost?,The art musium,The bookstore,The gallary,The library,The art musium,The art musium
multiple_choice,Where did she leave the directions?,On her dresseer,In her brothers appartement,On her couch,On her dresseer,In her car,On her dresseer
multiple_choice,How many blocks did she have to walk north?,5 blocks,15 blocks,5 blocks,1 Block,2 Blocks,5 blocks
multiple_choice,What day of the week did the annual sale start on?,Tuesday,Thursday,Monday,Friday,Tuesday,Tuesday
multiple_choice,How much were sporting goods marked down?,75%,75%,15%,50%,25%,75%
multiple_choice,How many dollars were jackets reduced by?,30$,30$,60$,50$,100$,30$
multiple_choice,What were the crowds of shoppers bumping into?,Each other,Each other,Carts,The employees,Racks of cloths,Each other
multiple_choice,What did each employee receive after closing?,A bottle of champaign,A bottle of wine,A Gift card,A sincere thank you,A bottle of champaign,A bottle of champaign
