uuid,user_agent,meta_created,logs,note_method,time_paused,times_paused,digit_span_time_taken,digit_span_score,started_quiz,submitted_quiz,time_taking_quiz
252404b7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:99.0) Gecko/20100101 Firefox/99.0,1649442415514,"[{'type': 'info', 'message': 'Audio ended'}]",typed,0,0,65436,11,1649442870939,1649442966171,95232

type,question,correct,option1,option2,option3,option4,answer
multiple_choice,How long have Jackson and Davies been friends?,40 Years,5 Years,40 Years,10 Years,20 Years,5 Years
multiple_choice,What state do they live in?,Washington,Minnesota,Washington,Indiana,Michigan,Washington
multiple_choice,What are their favourite pastimes?,Going for walks and gardening,Playing chess and swimming,Going for walks and gardening,Going to church and birdwatching,Playing bingo and jogging,Going for walks and gardening
multiple_choice,Which does Davies not grow?,Beets,Melons,Carrots,Beets,Peas,Beets
multiple_choice,What do they do with their harvest?,Make jams and preserves,Give it away to friends and family,Make jams and preserves,Donate it to chairty,Make pies and cakes,Make jams and preserves
multiple_choice,What relation do Liam and Robert have to each other?,Cousins,Brothers,Cousins,Friends,Classmates,Brothers
multiple_choice,How old is Liam?,8 years old,10 years old,8 years old,5 years old,6 years old,8 years old
multiple_choice,Who's car did they go in?,Aunt Sally,Aunt Sally,Liam's father,Uncle Devin,Liam's mother,Aunt Sally
multiple_choice,Where did they go in the car?,Riding school,Cooking school,The mall,The playground,Riding school,Riding school
multiple_choice,When did their lesson start?,3 o'clock,3 o'clock,1 o'clock,Noon,2 o'clock,3 o'clock
multiple_choice,Who was Lucy Carson visiting?,Her brother,Her nephiew,Her mother,Her brother,Her sister,Her brother
multiple_choice,Which state did she visit?,Virginia,Missouri,Virginia,Louisiana,Connecticut,Virginia
multiple_choice,Where was she going did when she got lost?,The art musium,The art musium,The gallary,The library,The bookstore,The art musium
multiple_choice,Where did she leave the directions?,On her dresseer,In her car,On her dresseer,On her couch,In her brothers appartement,On her couch
multiple_choice,How many blocks did she have to walk north?,5 blocks,5 blocks,2 Blocks,15 blocks,1 Block,5 blocks
multiple_choice,What day of the week did the annual sale start on?,Tuesday,Monday,Thursday,Friday,Tuesday,Tuesday
multiple_choice,How much were sporting goods marked down?,75%,25%,50%,15%,75%,75%
multiple_choice,How many dollars were jackets reduced by?,30$,50$,100$,30$,60$,50$
multiple_choice,What were the crowds of shoppers bumping into?,Each other,Carts,The employees,Racks of cloths,Each other,Each other
multiple_choice,What did each employee receive after closing?,A bottle of champaign,A sincere thank you,A bottle of champaign,A Gift card,A bottle of wine,A bottle of champaign
