uuid,user_agent,meta_created,logs,note_method,time_paused,times_paused,digit_span_time_taken,digit_span_score,started_quiz,submitted_quiz,time_taking_quiz
fb7f66e5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1649696501598,"[{'type': 'info', 'message': 'Audio ended'}]",written,0,0,77815,8,1649696871648,1649697073762,202114

type,question,correct,option1,option2,option3,option4,answer
multiple_choice,How long have Jackson and Davies been friends?,40 Years,5 Years,20 Years,10 Years,40 Years,40 Years
multiple_choice,What state do they live in?,Washington,Washington,Minnesota,Indiana,Michigan,Washington
multiple_choice,What are their favourite pastimes?,Going for walks and gardening,Playing bingo and jogging,Going to church and birdwatching,Going for walks and gardening,Playing chess and swimming,Going for walks and gardening
multiple_choice,Which does Davies not grow?,Beets,Beets,Melons,Carrots,Peas,Melons
multiple_choice,What do they do with their harvest?,Make jams and preserves,Donate it to chairty,Give it away to friends and family,Make jams and preserves,Make pies and cakes,Donate it to chairty
multiple_choice,What relation do Liam and Robert have to each other?,Cousins,Classmates,Friends,Cousins,Brothers,Cousins
multiple_choice,How old is Liam?,8 years old,5 years old,10 years old,6 years old,8 years old,8 years old
multiple_choice,Who's car did they go in?,Aunt Sally,Liam's mother,Aunt Sally,Uncle Devin,Liam's father,Aunt Sally
multiple_choice,Where did they go in the car?,Riding school,The playground,Cooking school,The mall,Riding school,Riding school
multiple_choice,When did their lesson start?,3 o'clock,3 o'clock,Noon,1 o'clock,2 o'clock,3 o'clock
multiple_choice,Who was Lucy Carson visiting?,Her brother,Her mother,Her sister,Her brother,Her nephiew,Her brother
multiple_choice,Which state did she visit?,Virginia,Louisiana,Virginia,Missouri,Connecticut,Louisiana
multiple_choice,Where was she going did when she got lost?,The art musium,The gallary,The library,The art musium,The bookstore,The art musium
multiple_choice,Where did she leave the directions?,On her dresseer,In her brothers appartement,On her dresseer,On her couch,In her car,On her dresseer
multiple_choice,How many blocks did she have to walk north?,5 blocks,5 blocks,15 blocks,1 Block,2 Blocks,15 blocks
multiple_choice,What day of the week did the annual sale start on?,Tuesday,Thursday,Tuesday,Monday,Friday,Thursday
multiple_choice,How much were sporting goods marked down?,75%,25%,15%,75%,50%,25%
multiple_choice,How many dollars were jackets reduced by?,30$,100$,50$,30$,60$,50$
multiple_choice,What were the crowds of shoppers bumping into?,Each other,The employees,Each other,Racks of cloths,Carts,Each other
multiple_choice,What did each employee receive after closing?,A bottle of champaign,A Gift card,A bottle of champaign,A sincere thank you,A bottle of wine,A bottle of champaign
