uuid,user_agent,meta_created,logs,note_method,time_paused,times_paused,digit_span_time_taken,digit_span_score,started_quiz,submitted_quiz,time_taking_quiz
c4958c77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",1649880749343,"[{'type': 'info', 'message': 'Audio ended'}]",typed,0,0,90649,12,1649881184149,1649881272431,88282

type,question,correct,option1,option2,option3,option4,answer
multiple_choice,How long have Jackson and Davies been friends?,40 Years,20 Years,5 Years,40 Years,10 Years,40 Years
multiple_choice,What state do they live in?,Washington,Indiana,Washington,Michigan,Minnesota,Washington
multiple_choice,What are their favourite pastimes?,Going for walks and gardening,Playing chess and swimming,Going to church and birdwatching,Going for walks and gardening,Playing bingo and jogging,Going for walks and gardening
multiple_choice,Which does Davies not grow?,Beets,Carrots,Peas,Melons,Beets,Beets
multiple_choice,What do they do with their harvest?,Make jams and preserves,Make jams and preserves,Make pies and cakes,Donate it to chairty,Give it away to friends and family,Make jams and preserves
multiple_choice,What relation do Liam and Robert have to each other?,Cousins,Classmates,Cousins,Brothers,Friends,Cousins
multiple_choice,How old is Liam?,8 years old,6 years old,10 years old,8 years old,5 years old,8 years old
multiple_choice,Who's car did they go in?,Aunt Sally,Liam's mother,Liam's father,Uncle Devin,Aunt Sally,Aunt Sally
multiple_choice,Where did they go in the car?,Riding school,The mall,Cooking school,The playground,Riding school,Riding school
multiple_choice,When did their lesson start?,3 o'clock,2 o'clock,Noon,3 o'clock,1 o'clock,Noon
multiple_choice,Who was Lucy Carson visiting?,Her brother,Her sister,Her mother,Her nephiew,Her brother,Her brother
multiple_choice,Which state did she visit?,Virginia,Missouri,Louisiana,Virginia,Connecticut,Virginia
multiple_choice,Where was she going did when she got lost?,The art musium,The library,The bookstore,The art musium,The gallary,The art musium
multiple_choice,Where did she leave the directions?,On her dresseer,In her car,In her brothers appartement,On her couch,On her dresseer,On her dresseer
multiple_choice,How many blocks did she have to walk north?,5 blocks,2 Blocks,15 blocks,1 Block,5 blocks,1 Block
multiple_choice,What day of the week did the annual sale start on?,Tuesday,Thursday,Tuesday,Friday,Monday,Tuesday
multiple_choice,How much were sporting goods marked down?,75%,15%,25%,75%,50%,75%
multiple_choice,How many dollars were jackets reduced by?,30$,50$,30$,60$,100$,30$
multiple_choice,What were the crowds of shoppers bumping into?,Each other,Carts,Racks of cloths,The employees,Each other,Racks of cloths
multiple_choice,What did each employee receive after closing?,A bottle of champaign,A sincere thank you,A Gift card,A bottle of champaign,A bottle of wine,A bottle of champaign
