uuid,user_agent,meta_created,logs,note_method,time_paused,times_paused,digit_span_time_taken,digit_span_score,started_quiz,submitted_quiz,time_taking_quiz
ffad2153,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",1649881303996,"[{'type': 'info', 'message': 'Audio ended'}]",written,0,0,212706,17,1649882572747,1649882751821,179074

type,question,correct,option1,option2,option3,option4,answer
multiple_choice,How long have Jackson and Davies been friends?,40 Years,10 Years,40 Years,20 Years,5 Years,10 Years
multiple_choice,What state do they live in?,Washington,Washington,Indiana,Michigan,Minnesota,Washington
multiple_choice,What are their favourite pastimes?,Going for walks and gardening,Playing chess and swimming,Playing bingo and jogging,Going for walks and gardening,Going to church and birdwatching,Going for walks and gardening
multiple_choice,Which does Davies not grow?,Beets,Carrots,Beets,Melons,Peas,Beets
multiple_choice,What do they do with their harvest?,Make jams and preserves,Donate it to chairty,Make jams and preserves,Give it away to friends and family,Make pies and cakes,Make jams and preserves
multiple_choice,What relation do Liam and Robert have to each other?,Cousins,Brothers,Classmates,Friends,Cousins,Cousins
multiple_choice,How old is Liam?,8 years old,10 years old,5 years old,6 years old,8 years old,6 years old
multiple_choice,Who's car did they go in?,Aunt Sally,Aunt Sally,Liam's mother,Uncle Devin,Liam's father,Aunt Sally
multiple_choice,Where did they go in the car?,Riding school,The playground,Cooking school,Riding school,The mall,Riding school
multiple_choice,When did their lesson start?,3 o'clock,1 o'clock,Noon,2 o'clock,3 o'clock,3 o'clock
multiple_choice,Who was Lucy Carson visiting?,Her brother,Her nephiew,Her mother,Her sister,Her brother,Her mother
multiple_choice,Which state did she visit?,Virginia,Missouri,Connecticut,Virginia,Louisiana,Virginia
multiple_choice,Where was she going did when she got lost?,The art musium,The bookstore,The art musium,The gallary,The library,The art musium
multiple_choice,Where did she leave the directions?,On her dresseer,On her couch,In her brothers appartement,In her car,On her dresseer,On her dresseer
multiple_choice,How many blocks did she have to walk north?,5 blocks,2 Blocks,1 Block,5 blocks,15 blocks,5 blocks
multiple_choice,What day of the week did the annual sale start on?,Tuesday,Friday,Tuesday,Monday,Thursday,Tuesday
multiple_choice,How much were sporting goods marked down?,75%,50%,75%,25%,15%,75%
multiple_choice,How many dollars were jackets reduced by?,30$,50$,60$,30$,100$,30$
multiple_choice,What were the crowds of shoppers bumping into?,Each other,The employees,Racks of cloths,Each other,Carts,Racks of cloths
multiple_choice,What did each employee receive after closing?,A bottle of champaign,A Gift card,A bottle of champaign,A sincere thank you,A bottle of wine,A bottle of champaign
