uuid,user_agent,meta_created,logs,note_method,time_paused,times_paused,digit_span_time_taken,digit_span_score,started_quiz,submitted_quiz,time_taking_quiz
f19dff70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1649699138349,"[{'type': 'info', 'message': 'Audio ended'}]",none,0,0,36170,8,1649699308525,1649706907107,7598582

type,question,correct,option1,option2,option3,option4,answer
multiple_choice,How long have Jackson and Davies been friends?,40 Years,40 Years,5 Years,10 Years,20 Years,40 Years
multiple_choice,What state do they live in?,Washington,Michigan,Washington,Indiana,Minnesota,Washington
multiple_choice,What are their favourite pastimes?,Going for walks and gardening,Playing bingo and jogging,Playing chess and swimming,Going for walks and gardening,Going to church and birdwatching,Going for walks and gardening
multiple_choice,Which does Davies not grow?,Beets,Peas,Melons,Beets,Carrots,Carrots
multiple_choice,What do they do with their harvest?,Make jams and preserves,Make pies and cakes,Make jams and preserves,Donate it to chairty,Give it away to friends and family,Make jams and preserves
multiple_choice,What relation do Liam and Robert have to each other?,Cousins,Brothers,Cousins,Friends,Classmates,Cousins
multiple_choice,How old is Liam?,8 years old,6 years old,8 years old,10 years old,5 years old,10 years old
multiple_choice,Who's car did they go in?,Aunt Sally,Liam's mother,Aunt Sally,Liam's father,Uncle Devin,Aunt Sally
multiple_choice,Where did they go in the car?,Riding school,The playground,The mall,Riding school,Cooking school,Riding school
multiple_choice,When did their lesson start?,3 o'clock,2 o'clock,1 o'clock,3 o'clock,Noon,3 o'clock
multiple_choice,Who was Lucy Carson visiting?,Her brother,Her mother,Her nephiew,Her sister,Her brother,Her brother
multiple_choice,Which state did she visit?,Virginia,Louisiana,Virginia,Connecticut,Missouri,Louisiana
multiple_choice,Where was she going did when she got lost?,The art musium,The library,The art musium,The gallary,The bookstore,The library
multiple_choice,Where did she leave the directions?,On her dresseer,On her dresseer,In her brothers appartement,In her car,On her couch,In her brothers appartement
multiple_choice,How many blocks did she have to walk north?,5 blocks,1 Block,2 Blocks,5 blocks,15 blocks,2 Blocks
multiple_choice,What day of the week did the annual sale start on?,Tuesday,Thursday,Monday,Tuesday,Friday,Thursday
multiple_choice,How much were sporting goods marked down?,75%,15%,75%,25%,50%,25%
multiple_choice,How many dollars were jackets reduced by?,30$,30$,60$,50$,100$,30$
multiple_choice,What were the crowds of shoppers bumping into?,Each other,Each other,Racks of cloths,Carts,The employees,Each other
multiple_choice,What did each employee receive after closing?,A bottle of champaign,A bottle of champaign,A sincere thank you,A Gift card,A bottle of wine,A sincere thank you
