uuid,user_agent,meta_created,logs,time_paused,times_paused,digit_span_time_taken,digit_span_score,started_quiz,submitted_quiz,time_taking_quiz
6e0e96c9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.88 Safari/537.36",1648497667683,"[{'type': 'info', 'message': 'Audio ended'}]",0,0,46748,9,1648501357829,1648501390562,32733

type,question,correct,option1,option2,option3,option4,answer
multiple_choice,How long have Jackson and Davies been friends?,40 Years,5 Years,10 Years,40 Years,20 Years,40 Years
multiple_choice,What state do they live in?,Washington,Indiana,Washington,Minnesota,Michigan,Washington
multiple_choice,What are their favourite pastimes?,Going for walks and gardening,Playing bingo and jogging,Going to church and birdwatching,Going for walks and gardening,Playing chess and swimming,Going to church and birdwatching
multiple_choice,Which Does Davies not grow?,Beets,Melons,Carrots,Peas,Beets,Peas
multiple_choice,What do they do with their harvest?,Make jams and preserves,Make jams and preserves,Give it away to friends and family,Donate it to chairty,Make pies and cakes,Make jams and preserves
multiple_choice,What relation do Liam and Robert have to each other?,Cousins,Cousins,Brothers,Friends,Classmates,Classmates
multiple_choice,How old is Liam?,8 years old,10 years old,8 years old,5 years old,6 years old,10 years old
multiple_choice,Who's car did they go in?,Aunt Sally,Liam's father,Liam's mother,Uncle Devin,Aunt Sally,Uncle Devin
multiple_choice,Where did they go in the car?,Riding school,The mall,Cooking school,The playground,Riding school,The mall
multiple_choice,When did their lesson start?,3 o'clock,Noon,2 o'clock,3 o'clock,1 o'clock,Noon
multiple_choice,Who was Lucy Carson visiting?,Her brother,Her sister,Her brother,Her nephiew,Her mother,Her brother
multiple_choice,Which state did she go visit?,Virginia,Connecticut,Missouri,Virginia,Louisiana,Connecticut
multiple_choice,Where was she going did when she got lost?,The art musium,The gallary,The art musium,The library,The bookstore,The gallary
multiple_choice,Where did she leave the directions?,On her dresseer,In her brothers appartement,In her car,On her couch,On her dresseer,In her car
multiple_choice,How many blocks did she have to walk north?,5 blocks,2 Blocks,1 Block,15 blocks,5 blocks,15 blocks
multiple_choice,What day of the week did the annual sale start on?,Tuesday,Friday,Monday,Thursday,Tuesday,Thursday
multiple_choice,How much were sporting goods marked down?,75%,25%,75%,15%,50%,15%
multiple_choice,How many dollars were jackets reduced by?,30$,30$,100$,50$,60$,100$
multiple_choice,What were the crowds of shoppers bumping into?,Each other,Carts,The employees,Each other,Racks of cloths,Carts
multiple_choice,What did each employee receive after closing?,A bottle of champaign,A bottle of wine,A Gift card,A sincere thank you,A bottle of champaign,A bottle of wine
