uuid,user_agent,meta_created,logs,note_method,time_paused,times_paused,digit_span_time_taken,digit_span_score,started_quiz,submitted_quiz,time_taking_quiz
dc3bbc5a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",1649351181349,"[{'type': 'info', 'message': 'Audio ended'}]",none,0,0,69501,11,1649351798815,1649351913432,114617

type,question,correct,option1,option2,option3,option4,answer
multiple_choice,How long have Jackson and Davies been friends?,40 Years,5 Years,20 Years,10 Years,40 Years,5 Years
multiple_choice,What state do they live in?,Washington,Minnesota,Indiana,Michigan,Washington,Indiana
multiple_choice,What are their favourite pastimes?,Going for walks and gardening,Playing chess and swimming,Going for walks and gardening,Playing bingo and jogging,Going to church and birdwatching,Going for walks and gardening
multiple_choice,Which does Davies not grow?,Beets,Carrots,Peas,Beets,Melons,Peas
multiple_choice,What do they do with their harvest?,Make jams and preserves,Make pies and cakes,Donate it to chairty,Make jams and preserves,Give it away to friends and family,Give it away to friends and family
multiple_choice,What relation do Liam and Robert have to each other?,Cousins,Friends,Brothers,Classmates,Cousins,Brothers
multiple_choice,How old is Liam?,8 years old,8 years old,5 years old,10 years old,6 years old,10 years old
multiple_choice,Who's car did they go in?,Aunt Sally,Aunt Sally,Liam's father,Liam's mother,Uncle Devin,Liam's father
multiple_choice,Where did they go in the car?,Riding school,The playground,The mall,Riding school,Cooking school,The playground
multiple_choice,When did their lesson start?,3 o'clock,Noon,1 o'clock,3 o'clock,2 o'clock,3 o'clock
multiple_choice,Who was Lucy Carson visiting?,Her brother,Her brother,Her mother,Her nephiew,Her sister,Her mother
multiple_choice,Which state did she visit?,Virginia,Virginia,Connecticut,Louisiana,Missouri,Louisiana
multiple_choice,Where was she going did when she got lost?,The art musium,The art musium,The library,The bookstore,The gallary,The library
multiple_choice,Where did she leave the directions?,On her dresseer,In her brothers appartement,In her car,On her dresseer,On her couch,In her car
multiple_choice,How many blocks did she have to walk north?,5 blocks,5 blocks,2 Blocks,1 Block,15 blocks,2 Blocks
multiple_choice,What day of the week did the annual sale start on?,Tuesday,Monday,Thursday,Tuesday,Friday,Thursday
multiple_choice,How much were sporting goods marked down?,75%,15%,75%,50%,25%,75%
multiple_choice,How many dollars were jackets reduced by?,30$,60$,100$,50$,30$,50$
multiple_choice,What were the crowds of shoppers bumping into?,Each other,The employees,Carts,Racks of cloths,Each other,The employees
multiple_choice,What did each employee receive after closing?,A bottle of champaign,A bottle of champaign,A sincere thank you,A Gift card,A bottle of wine,A sincere thank you
