uuid,user_agent,meta_created,logs,note_method,time_paused,times_paused,digit_span_time_taken,digit_span_score,started_quiz,submitted_quiz,time_taking_quiz
318b1d53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36",1649351879837,"[{'type': 'info', 'message': 'Audio ended'}]",typed,0,0,99458,12,1649353079536,1649353215596,136060

type,question,correct,option1,option2,option3,option4,answer
multiple_choice,How long have Jackson and Davies been friends?,40 Years,5 Years,40 Years,10 Years,20 Years,40 Years
multiple_choice,What state do they live in?,Washington,Minnesota,Washington,Michigan,Indiana,Minnesota
multiple_choice,What are their favourite pastimes?,Going for walks and gardening,Playing bingo and jogging,Going to church and birdwatching,Going for walks and gardening,Playing chess and swimming,Going for walks and gardening
multiple_choice,Which does Davies not grow?,Beets,Melons,Carrots,Beets,Peas,Beets
multiple_choice,What do they do with their harvest?,Make jams and preserves,Make jams and preserves,Give it away to friends and family,Donate it to chairty,Make pies and cakes,Make jams and preserves
multiple_choice,What relation do Liam and Robert have to each other?,Cousins,Friends,Cousins,Brothers,Classmates,Friends
multiple_choice,How old is Liam?,8 years old,5 years old,8 years old,10 years old,6 years old,10 years old
multiple_choice,Who's car did they go in?,Aunt Sally,Liam's father,Liam's mother,Uncle Devin,Aunt Sally,Aunt Sally
multiple_choice,Where did they go in the car?,Riding school,The playground,Riding school,The mall,Cooking school,Riding school
multiple_choice,When did their lesson start?,3 o'clock,2 o'clock,3 o'clock,1 o'clock,Noon,3 o'clock
multiple_choice,Who was Lucy Carson visiting?,Her brother,Her sister,Her brother,Her nephiew,Her mother,Her brother
multiple_choice,Which state did she visit?,Virginia,Missouri,Louisiana,Connecticut,Virginia,Louisiana
multiple_choice,Where was she going did when she got lost?,The art musium,The library,The gallary,The art musium,The bookstore,The art musium
multiple_choice,Where did she leave the directions?,On her dresseer,On her dresseer,On her couch,In her car,In her brothers appartement,On her dresseer
multiple_choice,How many blocks did she have to walk north?,5 blocks,15 blocks,1 Block,2 Blocks,5 blocks,5 blocks
multiple_choice,What day of the week did the annual sale start on?,Tuesday,Tuesday,Thursday,Monday,Friday,Thursday
multiple_choice,How much were sporting goods marked down?,75%,15%,25%,50%,75%,75%
multiple_choice,How many dollars were jackets reduced by?,30$,30$,60$,50$,100$,30$
multiple_choice,What were the crowds of shoppers bumping into?,Each other,Carts,Each other,Racks of cloths,The employees,Carts
multiple_choice,What did each employee receive after closing?,A bottle of champaign,A bottle of wine,A bottle of champaign,A sincere thank you,A Gift card,A bottle of champaign
