uuid,user_agent,meta_created,logs,note_method,time_paused,times_paused,digit_span_time_taken,digit_span_score,started_quiz,submitted_quiz,time_taking_quiz
54e0dd12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36",1649276521447,"[{'type': 'info', 'message': 'Audio ended'}]",typed,0,0,61053,10,1649276832913,1649276983242,150329

type,question,correct,option1,option2,option3,option4,answer
multiple_choice,How long have Jackson and Davies been friends?,40 Years,20 Years,10 Years,40 Years,5 Years,5 Years
multiple_choice,What state do they live in?,Washington,Michigan,Indiana,Minnesota,Washington,Indiana
multiple_choice,What are their favourite pastimes?,Going for walks and gardening,Playing bingo and jogging,Going for walks and gardening,Going to church and birdwatching,Playing chess and swimming,Going for walks and gardening
multiple_choice,Which does Davies not grow?,Beets,Melons,Peas,Carrots,Beets,Beets
multiple_choice,What do they do with their harvest?,Make jams and preserves,Make pies and cakes,Give it away to friends and family,Make jams and preserves,Donate it to chairty,Donate it to chairty
multiple_choice,What relation do Liam and Robert have to each other?,Cousins,Cousins,Brothers,Classmates,Friends,Cousins
multiple_choice,How old is Liam?,8 years old,10 years old,5 years old,6 years old,8 years old,10 years old
multiple_choice,Who's car did they go in?,Aunt Sally,Liam's father,Liam's mother,Uncle Devin,Aunt Sally,Liam's father
multiple_choice,Where did they go in the car?,Riding school,Cooking school,The playground,The mall,Riding school,The playground
multiple_choice,When did their lesson start?,3 o'clock,2 o'clock,Noon,3 o'clock,1 o'clock,Noon
multiple_choice,Who was Lucy Carson visiting?,Her brother,Her nephiew,Her mother,Her brother,Her sister,Her brother
multiple_choice,Which state did she visit?,Virginia,Virginia,Connecticut,Louisiana,Missouri,Louisiana
multiple_choice,Where was she going did when she got lost?,The art musium,The library,The art musium,The gallary,The bookstore,The art musium
multiple_choice,Where did she leave the directions?,On her dresseer,In her car,In her brothers appartement,On her couch,On her dresseer,On her dresseer
multiple_choice,How many blocks did she have to walk north?,5 blocks,2 Blocks,5 blocks,1 Block,15 blocks,5 blocks
multiple_choice,What day of the week did the annual sale start on?,Tuesday,Tuesday,Friday,Monday,Thursday,Friday
multiple_choice,How much were sporting goods marked down?,75%,25%,50%,75%,15%,15%
multiple_choice,How many dollars were jackets reduced by?,30$,50$,60$,30$,100$,60$
multiple_choice,What were the crowds of shoppers bumping into?,Each other,Carts,Each other,The employees,Racks of cloths,Racks of cloths
multiple_choice,What did each employee receive after closing?,A bottle of champaign,A Gift card,A sincere thank you,A bottle of champaign,A bottle of wine,A sincere thank you
