uuid,user_agent,meta_created,logs,note_method,time_paused,times_paused,digit_span_time_taken,digit_span_score,started_quiz,submitted_quiz,time_taking_quiz
769a21e8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36",1649880757071,"[{'type': 'info', 'message': 'Audio ended'}]",none,0,0,113009,13,1649881279196,1649881439711,160515

type,question,correct,option1,option2,option3,option4,answer
multiple_choice,How long have Jackson and Davies been friends?,40 Years,10 Years,5 Years,40 Years,20 Years,5 Years
multiple_choice,What state do they live in?,Washington,Minnesota,Michigan,Indiana,Washington,Minnesota
multiple_choice,What are their favourite pastimes?,Going for walks and gardening,Playing bingo and jogging,Playing chess and swimming,Going to church and birdwatching,Going for walks and gardening,Going for walks and gardening
multiple_choice,Which does Davies not grow?,Beets,Beets,Melons,Carrots,Peas,Melons
multiple_choice,What do they do with their harvest?,Make jams and preserves,Make pies and cakes,Make jams and preserves,Give it away to friends and family,Donate it to chairty,Give it away to friends and family
multiple_choice,What relation do Liam and Robert have to each other?,Cousins,Brothers,Friends,Cousins,Classmates,Brothers
multiple_choice,How old is Liam?,8 years old,8 years old,5 years old,10 years old,6 years old,8 years old
multiple_choice,Who's car did they go in?,Aunt Sally,Aunt Sally,Uncle Devin,Liam's father,Liam's mother,Uncle Devin
multiple_choice,Where did they go in the car?,Riding school,The playground,The mall,Riding school,Cooking school,Riding school
multiple_choice,When did their lesson start?,3 o'clock,1 o'clock,Noon,2 o'clock,3 o'clock,2 o'clock
multiple_choice,Who was Lucy Carson visiting?,Her brother,Her nephiew,Her sister,Her mother,Her brother,Her sister
multiple_choice,Which state did she visit?,Virginia,Missouri,Louisiana,Connecticut,Virginia,Connecticut
multiple_choice,Where was she going did when she got lost?,The art musium,The gallary,The art musium,The library,The bookstore,The art musium
multiple_choice,Where did she leave the directions?,On her dresseer,In her car,On her couch,In her brothers appartement,On her dresseer,On her dresseer
multiple_choice,How many blocks did she have to walk north?,5 blocks,2 Blocks,1 Block,5 blocks,15 blocks,2 Blocks
multiple_choice,What day of the week did the annual sale start on?,Tuesday,Friday,Tuesday,Thursday,Monday,Friday
multiple_choice,How much were sporting goods marked down?,75%,75%,25%,50%,15%,15%
multiple_choice,How many dollars were jackets reduced by?,30$,50$,60$,30$,100$,30$
multiple_choice,What were the crowds of shoppers bumping into?,Each other,Each other,Racks of cloths,Carts,The employees,Each other
multiple_choice,What did each employee receive after closing?,A bottle of champaign,A Gift card,A bottle of wine,A sincere thank you,A bottle of champaign,A Gift card
